,tex LEV,Mazino LEV,kiNgg LEV,aspas LEV,C0M LEV
JonahP G2,,,,0 2 -2,
leaf G2,,,,0 2 -2,
trent G2,,,,0 1 -1,
icy G2,,1 0 +1,1 0 +1,0 2 -2,
valyn G2,,,,0 2 -2,
