,tex LEV,Mazino LEV,kiNgg LEV,aspas LEV,C0M LEV
JonahP G2,,0 1 -1,,0 1 -1,
leaf G2,,0 1 -1,1 1 +0,0 1 -1,2 0 +2
trent G2,,,0 2 -2,1 0 +1,0 1 -1
icy G2,2 1 +1,1 1 +0,2 0 +2,1 3 -2,0 1 -1
valyn G2,0 1 -1,0 1 -1,0 1 -1,1 0 +1,
