,t3xture GEN,Ash GEN,Munchkin GEN,Foxy9 GEN,Karon GEN
thyy TLN,2 3 -1,2 3 -1,1 2 -1,1 4 -3,2 1 +1
primmie TLN,4 2 +2,1 4 -3,3 3 +0,3 2 +1,5 2 +3
Crws TLN,1 5 -4,0 6 -6,,0 2 -2,1 1 +0
JitBoyS TLN,0 5 -5,1 2 -1,3 1 +2,2 2 +0,2 3 -1
Killua TLN,1 4 -3,0 4 -4,1 3 -2,2 2 +0,0 1 -1
