,t3xture GEN,Ash GEN,Munchkin GEN,Foxy9 GEN,Karon GEN
thyy TLN,,,,2 0 +2,1 0 +1
primmie TLN,,2 0 +2,1 0 +1,2 0 +2,0 1 -1
Crws TLN,1 0 +1,,1 0 +1,1 1 +0,
JitBoyS TLN,,1 0 +1,,0 1 -1,
Killua TLN,,1 0 +1,,,1 1 +0
