,t3xture GEN,Ash GEN,Munchkin GEN,Foxy9 GEN,Karon GEN
thyy TLN,6 4 +2,3 1 +2,1 3 -2,3 1 +2,4 0 +4
primmie TLN,1 3 -2,5 0 +5,4 1 +3,5 1 +4,3 2 +1
Crws TLN,2 0 +2,1 2 -1,3 2 +1,3 6 -3,3 1 +2
JitBoyS TLN,4 3 +1,4 1 +3,5 1 +4,1 3 -2,2 1 +1
Killua TLN,2 2 +0,2 3 -1,3 0 +3,2 0 +2,3 5 -2
