,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Crws TLN,,,,,,,,,,,17,2,0
Killua TLN,,,,,,,,,,,24,1,0
JitBoyS TLN,,,,,,,,,,,36,0,0
primmie TLN,,3 Round 3 Karon t3xture Round 5 Munchkin Foxy9 Round 11 t3xture Ash primmie,2 Round 10 Foxy9 Karon t3xture Round 13 Foxy9 Munchkin Karon,,,,1 Round 11 t3xture Ash,,,,66,0,0
thyy TLN,,,,1 Round 14 Munchkin t3xture Ash Foxy9,,,,,,,39,1,0
Munchkin GEN,,2 Round 1 thyy primmie Round 3 Killua primmie,,,,,,,,,37,1,0
t3xture GEN,,3 Round 1 JitBoyS Killua Round 3 JitBoyS thyy Round 12 Killua Crws,1 Round 16 primmie thyy Crws,1 Round 7 JitBoyS Killua primmie Crws,,,,,,,77,0,0
Foxy9 GEN,,2 Round 8 primmie thyy Round 12 JitBoyS thyy,1 Round 6 Crws Killua primmie,,,,,,,,50,0,1
Ash GEN,,3 Round 4 Crws Killua Round 10 Killua primmie Round 15 Crws thyy,1 Round 11 thyy Killua Crws,1 Round 2 Killua JitBoyS primmie Crws,,1 Round 4 Killua,,,,,151,1,1
Karon GEN,,1 Round 10 JitBoyS thyy,1 Round 9 JitBoyS primmie Killua,,,,,,,,37,0,1
