,t3xture GEN,Ash GEN,Munchkin GEN,Foxy9 GEN,Karon GEN
thyy TLN,0 2 -2,,,1 1 +0,
primmie TLN,0 3 -3,,2 0 +2,1 0 +1,
Crws TLN,0 3 -3,,,,
JitBoyS TLN,0 2 -2,,,,
Killua TLN,0 2 -2,,,,
