,t3xture GEN,Ash GEN,Munchkin GEN,Foxy9 GEN,Karon GEN
thyy TLN,11 10 +1,7 9 -2,3 8 -5,6 7 -1,7 3 +4
primmie TLN,7 11 -4,6 6 +0,7 6 +1,10 6 +4,9 7 +2
Crws TLN,4 8 -4,4 10 -6,7 6 +1,3 10 -7,6 4 +2
JitBoyS TLN,4 14 -10,7 6 +1,10 6 +4,5 8 -3,9 5 +4
Killua TLN,9 7 +2,3 10 -7,5 5 +0,6 8 -2,6 9 -3
