,t3xture GEN,Ash GEN,Munchkin GEN,Foxy9 GEN,Karon GEN
thyy TLN,,,0 2 -2,2 0 +2,1 0 +1
primmie TLN,3 4 -1,2 0 +2,1 1 +0,4 2 +2,1 2 -1
Crws TLN,1 2 -1,,1 0 +1,1 2 -1,0 1 -1
JitBoyS TLN,0 2 -2,1 0 +1,2 0 +2,0 1 -1,
Killua TLN,1 2 -1,1 2 -1,2 2 +0,,2 2 +0
