,t3xture GEN,Ash GEN,Munchkin GEN,Foxy9 GEN,Karon GEN
thyy TLN,3 3 +0,2 5 -3,1 3 -2,2 2 +0,1 2 -1
primmie TLN,2 6 -4,0 2 -2,0 2 -2,2 3 -1,1 3 -2
Crws TLN,1 3 -2,3 2 +1,4 4 +0,0 2 -2,2 2 +0
JitBoyS TLN,0 6 -6,2 3 -1,2 4 -2,2 3 -1,5 1 +4
Killua TLN,6 1 +5,1 3 -2,1 2 -1,2 6 -4,3 3 +0
