,t3xture GEN,Ash GEN,Munchkin GEN,Foxy9 GEN,Karon GEN
thyy TLN,0 1 -1,,,0 1 -1,
primmie TLN,,,,,
Crws TLN,0 2 -2,,,,
JitBoyS TLN,0 1 -1,,,,
Killua TLN,0 2 -2,,,,
