,Khalil FUR,heat FUR,mwzera FUR,raafa FUR,havoc FUR
Demon1 LEV,1 0 +1,2 0 +2,,,2 4 -2
tex LEV,,2 1 +1,1 1 +0,1 0 +1,0 2 -2
C0M LEV,1 1 +0,1 1 +0,,,1 1 +0
kiNgg LEV,1 1 +0,1 0 +1,0 2 -2,1 0 +1,2 1 +1
nataNk LEV,0 1 -1,2 1 +1,2 1 +1,,0 1 -1
