,Khalil FUR,heat FUR,mwzera FUR,raafa FUR,havoc FUR
Demon1 LEV,,2 0 +2,,,2 1 +1
tex LEV,,1 1 +0,0 1 -1,1 0 +1,0 1 -1
C0M LEV,,1 0 +1,,,1 1 +0
kiNgg LEV,0 1 -1,1 0 +1,,1 0 +1,0 1 -1
nataNk LEV,,0 1 -1,2 0 +2,,0 1 -1
