,Dep ZETA,CLZ ZETA,SyouTa ZETA,Xdll ZETA,SugarZ3ro ZETA
xffero RRQ,0 2 -2,2 4 -2,3 1 +2,5 2 +3,2 6 -4
Kushy RRQ,1 8 -7,3 3 +0,2 3 -1,6 1 +5,5 1 +4
Jemkin RRQ,7 6 +1,3 2 +1,5 3 +2,2 5 -3,4 3 +1
crazyguy RRQ,8 6 +2,7 2 +5,4 3 +1,3 0 +3,1 2 -1
Monyet RRQ,1 6 -5,2 1 +1,4 3 +1,4 4 +0,4 1 +3
