,Dep ZETA,CLZ ZETA,SyouTa ZETA,Xdll ZETA,SugarZ3ro ZETA
xffero RRQ,0 1 -1,0 1 -1,,1 1 +0,0 2 -2
Kushy RRQ,0 2 -2,,,1 0 +1,1 0 +1
Jemkin RRQ,1 1 +0,1 0 +1,1 1 +0,,1 0 +1
crazyguy RRQ,1 0 +1,,,,
Monyet RRQ,0 1 -1,,1 2 -1,0 1 -1,
