,Dep ZETA,CLZ ZETA,SyouTa ZETA,Xdll ZETA,SugarZ3ro ZETA
xffero RRQ,2 0 +2,4 3 +1,1 4 -3,4 2 +2,5 2 +3
Kushy RRQ,2 0 +2,2 3 -1,6 2 +4,2 0 +2,4 2 +2
Jemkin RRQ,6 1 +5,1 3 -2,6 1 +5,6 2 +4,2 3 -1
crazyguy RRQ,2 0 +2,5 0 +5,3 3 +0,3 5 -2,4 0 +4
Monyet RRQ,3 2 +1,4 0 +4,1 3 -2,2 1 +1,1 3 -2
