,Dep ZETA,CLZ ZETA,SyouTa ZETA,Xdll ZETA,SugarZ3ro ZETA
xffero RRQ,,1 0 +1,,1 0 +1,
Kushy RRQ,,,0 1 -1,,
Jemkin RRQ,5 0 +5,,0 1 -1,0 1 -1,1 1 +0
crazyguy RRQ,1 0 +1,,,0 1 -1,1 0 +1
Monyet RRQ,2 1 +1,,0 1 -1,,
