,Dep ZETA,CLZ ZETA,SyouTa ZETA,Xdll ZETA,SugarZ3ro ZETA
xffero RRQ,2 2 +0,6 7 -1,4 5 -1,9 4 +5,7 8 -1
Kushy RRQ,3 8 -5,5 6 -1,8 5 +3,8 1 +7,9 3 +6
Jemkin RRQ,13 7 +6,4 5 -1,11 4 +7,8 7 +1,6 6 +0
crazyguy RRQ,10 6 +4,12 2 +10,7 6 +1,6 5 +1,5 2 +3
Monyet RRQ,4 8 -4,6 1 +5,5 6 -1,6 5 +1,5 4 +1
