,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
stax T1,,1 Round 14 crazyguy Monyet,2 Round 16 Kushy Monyet crazyguy Round 21 Jemkin crazyguy Kushy,,,,,1 Round 21 Kushy crazyguy Jemkin,,,43,9,1
BuZz T1,,1 Round 10 Monyet Kushy,1 Round 20 Monyet Kushy crazyguy,,,,,,,,28,0,0
Meteor T1,,3 Round 7 crazyguy xffero Round 17 Jemkin xffero Round 21 Monyet xffero,2 Round 5 crazyguy Jemkin Monyet Round 24 Kushy Jemkin crazyguy,,,,1 Round 24 crazyguy Jemkin,,,,53,0,1
iZu T1,,5 Round 1 Jemkin crazyguy Round 4 crazyguy Jemkin Round 8 Monyet xffero Round 12 Kushy Monyet Round 18 Jemkin Kushy,1 Round 3 Jemkin Monyet Kushy,2 Round 2 crazyguy xffero Monyet Kushy Round 22 Monyet xffero Kushy Jemkin,,,1 Round 12 Monyet xffero,,,,87,0,0
DH T1,,2 Round 15 Jemkin crazyguy Round 23 crazyguy Kushy,2 Round 6 Monyet Jemkin crazyguy Round 11 Monyet Jemkin Kushy,,,1 Round 11 Kushy,,,,,69,2,0
crazyguy RRQ,,4 Round 3 DH stax Round 17 iZu Meteor Round 21 iZu DH Round 22 BuZz iZu,1 Round 14 Meteor iZu DH,,,1 Round 22 iZu,,,,,39,3,0
Kushy RRQ,,1 Round 11 iZu Meteor,1 Round 10 Meteor DH stax,,,1 Round 14 stax,,,,,41,4,0
xffero RRQ,,1 Round 12 DH iZu xffero,,,,1 Round 3 iZu,,,,,43,0,1
Monyet RRQ,,3 Round 12 BuZz Meteor Round 17 BuZz DH Round 19 stax iZu,1 Round 15 BuZz DH iZu,2 Round 7 iZu Meteor BuZz stax Round 18 BuZz stax Meteor DH,,,,2 Round 7 stax BuZz Meteor Round 18 stax DH Meteor,,,89,1,1
Jemkin RRQ,,3 Round 13 iZu stax Jemkin Round 21 Meteor BuZz Round 24 DH BuZz,1 Round 22 DH stax Meteor,,,1 Round 10 BuZz,,,,,48,0,0
