,crazyguy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,Kushy RRQ
iZu T1,,,,0 1 -1,
BuZz T1,1 0 +1,,1 0 +1,0 1 -1,
DH T1,,,,,
stax T1,,,,,
Meteor T1,,,,,
