,crazyguy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,Kushy RRQ
iZu T1,6 7 -1,5 3 +2,6 3 +3,7 3 +4,5 2 +3
BuZz T1,1 1 +0,0 2 -2,3 5 -2,0 6 -6,7 2 +5
DH T1,7 3 +4,2 4 -2,4 4 +0,5 2 +3,2 1 +1
stax T1,4 2 +2,2 2 +0,3 3 +0,1 3 -2,3 4 -1
Meteor T1,5 4 +1,6 3 +3,2 6 -4,6 3 +3,1 3 -2
