,crazyguy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,Kushy RRQ
iZu T1,15 13 +2,9 9 +0,12 10 +2,12 14 -2,11 9 +2
BuZz T1,7 12 -5,7 4 +3,11 13 -2,13 12 +1,14 12 +2
DH T1,16 9 +7,7 16 -9,15 8 +7,8 9 -1,6 4 +2
stax T1,9 9 +0,4 10 -6,4 11 -7,4 11 -7,7 7 +0
Meteor T1,11 16 -5,12 13 -1,10 12 -2,13 7 +6,9 7 +2
