,crazyguy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,Kushy RRQ
iZu T1,,,,0 1 -1,
BuZz T1,2 0 +2,,4 0 +4,1 1 +0,4 0 +4
DH T1,,,,0 3 -3,
stax T1,,,,0 2 -2,
Meteor T1,,,,0 1 -1,
