,crazyguy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,Kushy RRQ
iZu T1,,,,,
BuZz T1,,,1 0 +1,1 0 +1,1 0 +1
DH T1,,,,0 3 -3,
stax T1,,,,0 2 -2,
Meteor T1,,,,0 1 -1,
