,crazyguy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,Kushy RRQ
iZu T1,5 4 +1,3 4 -1,2 4 -2,2 1 +1,3 3 +0
BuZz T1,3 4 -1,3 0 +3,3 4 -1,6 1 +5,3 6 -3
DH T1,2 3 -1,2 3 -1,4 1 +3,1 6 -5,0 3 -3
stax T1,2 3 -1,1 3 -2,1 3 -2,1 4 -3,3 1 +2
Meteor T1,3 4 -1,3 3 +0,2 5 -3,3 1 +2,2 2 +0
