,crazyguy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,Kushy RRQ
iZu T1,2 2 +0,,1 0 +1,2 1 +1,
BuZz T1,,,1 3 -2,0 1 -1,1 0 +1
DH T1,0 1 -1,,1 0 +1,0 1 -1,
stax T1,,,,,
Meteor T1,0 1 -1,1 0 +1,1 2 -1,1 0 +1,0 1 -1
