,crazyguy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,Kushy RRQ
iZu T1,4 2 +2,1 2 -1,4 3 +1,3 10 -7,3 4 -1
BuZz T1,3 7 -4,4 2 +2,5 4 +1,7 5 +2,4 4 +0
DH T1,7 3 +4,3 9 -6,7 3 +4,2 1 +1,4 0 +4
stax T1,3 4 -1,1 5 -4,0 5 -5,2 4 -2,1 2 -1
Meteor T1,3 8 -5,3 7 -4,6 1 +5,4 3 +1,6 2 +4
