,crazyguy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ,Kushy RRQ
iZu T1,1 0 +1,1 0 +1,0 2 -2,1 1 +0,
BuZz T1,,,,3 0 +3,1 0 +1
DH T1,,,1 1 +0,0 4 -4,
stax T1,,0 1 -1,0 1 -1,,
Meteor T1,,0 1 -1,,,1 0 +1
