,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
cortezia MIBR,,3 Round 12 tex Sato Round 19 Sato Okeanos cortezia Round 20 C0M Sato,,,,,1 Round 19 C0M Okeanos,,,,51,0,1
artzin MIBR,,3 Round 3 Sato Okeanos Round 5 C0M tex Round 6 Sato kiNgg,2 Round 10 tex kiNgg Okeanos Round 13 kiNgg C0M Okeanos,,,,1 Round 10 kiNgg Okeanos,,,,57,0,1
aspas MIBR,,1 Round 14 tex Okeanos,1 Round 8 Okeanos C0M kiNgg,,,,,,,,39,0,0
xenom MIBR,,4 Round 4 C0M Okeanos Round 6 Okeanos tex Round 14 kiNgg Sato Round 19 kiNgg tex,,,,,,,,,37,1,0
Verno MIBR,,2 Round 7 kiNgg C0M Round 13 tex Sato,,,,,,,,,31,4,0
C0M LEV,,1 Round 6 xenom artzin,,,,,1 Round 6 artzin xenom,,,,34,4,0
tex LEV,,1 Round 21 cortezia xenom,,1 Round 17 artzin aspas Verno cortezia,,,,,,,42,1,0
Okeanos LEV,,3 Round 13 Verno cortezia Round 15 aspas artzin Round 18 artzin Verno,,,,1 Round 20 cortezia,,,,,38,3,1
kiNgg LEV,,2 Round 11 xenom Verno Round 15 Verno cortezia,6 Round 4 artzin cortezia xenom Round 5 cortezia xenom artzin Round 10 Verno xenom aspas Round 12 cortezia aspas Verno Round 16 cortezia xenom Verno Round 21 artzin aspas Verno,,,1 Round 4 xenom,,,,,101,0,1
Sato LEV,,,1 Round 1 aspas Verno xenom,1 Round 20 artzin xenom aspas cortezia,,,,,,,72,1,0
