,Okeanos LEV,kiNgg LEV,tex LEV,C0M LEV,Sato LEV
artzin MIBR,0 1 -1,2 1 +1,0 1 -1,1 0 +1,1 3 -2
xenom MIBR,1 0 +1,1 0 +1,,,
Verno MIBR,,,0 1 -1,,1 0 +1
cortezia MIBR,,0 1 -1,1 1 +0,,1 0 +1
aspas MIBR,1 0 +1,,,,1 1 +0
