,lukxo LOUD,pANcada LOUD,cauanzin LOUD,dgzin LOUD,tuyz LOUD
zekken SEN,0 1 -1,0 1 -1,,1 0 +1,
N4RRATE SEN,,,1 0 +1,1 1 +0,
Zellsis SEN,1 1 +0,2 0 +2,1 0 +1,1 2 -1,1 0 +1
johnqt SEN,0 1 -1,,,,
bang SEN,,,,0 1 -1,1 0 +1
