,lukxo LOUD,pANcada LOUD,cauanzin LOUD,dgzin LOUD,tuyz LOUD
zekken SEN,,0 3 -3,,0 2 -2,
N4RRATE SEN,1 0 +1,3 0 +3,,,
Zellsis SEN,0 4 -4,,2 0 +2,1 0 +1,
johnqt SEN,,,1 0 +1,0 3 -3,1 0 +1
bang SEN,0 1 -1,,,0 1 -1,1 0 +1
