,lukxo LOUD,pANcada LOUD,cauanzin LOUD,dgzin LOUD,tuyz LOUD
zekken SEN,2 2 +0,,,0 1 -1,1 1 +0
N4RRATE SEN,1 1 +0,,1 0 +1,1 1 +0,
Zellsis SEN,0 1 -1,,,1 1 +0,
johnqt SEN,,0 1 -1,,1 0 +1,
bang SEN,1 0 +1,1 0 +1,2 0 +2,1 1 +0,
