,Proxh M8,Veqaj M8,ComeBack M8,kamyk M8,Minny M8
qRaxs FUT,,,0 1 -1,,
cNed FUT,1 0 +1,1 0 +1,2 0 +2,4 0 +4,
xeus FUT,,,,,
yetujey FUT,,,,,
MrFaliN FUT,,,0 1 -1,,
