,Proxh M8,Veqaj M8,ComeBack M8,kamyk M8,Minny M8
qRaxs FUT,,,,,
cNed FUT,1 0 +1,,0 1 -1,1 0 +1,1 0 +1
xeus FUT,,,0 1 -1,,
yetujey FUT,,,,,
MrFaliN FUT,,,0 1 -1,,
