,Proxh M8,Veqaj M8,ComeBack M8,kamyk M8,Minny M8
qRaxs FUT,,,,,1 1 +0
cNed FUT,,1 1 +0,1 4 -3,2 3 -1,
xeus FUT,0 1 -1,,2 0 +2,0 1 -1,0 2 -2
yetujey FUT,,,3 1 +2,,1 0 +1
MrFaliN FUT,1 1 +0,1 0 +1,1 1 +0,,
