,Proxh M8,Veqaj M8,ComeBack M8,kamyk M8,Minny M8
qRaxs FUT,,2 0 +2,0 1 -1,,1 2 -1
cNed FUT,1 0 +1,2 2 +0,3 4 -1,3 3 +0,1 1 +0
xeus FUT,1 2 -1,,6 2 +4,0 2 -2,1 3 -2
yetujey FUT,1 0 +1,,4 2 +2,,2 1 +1
MrFaliN FUT,1 2 -1,1 1 +0,3 1 +2,0 1 -1,4 1 +3
