,Proxh M8,Veqaj M8,ComeBack M8,kamyk M8,Minny M8
qRaxs FUT,,1 0 +1,0 1 -1,,0 1 -1
cNed FUT,1 0 +1,,1 0 +1,,1 0 +1
xeus FUT,1 0 +1,,2 1 +1,0 1 -1,1 1 +0
yetujey FUT,,,1 0 +1,,
MrFaliN FUT,,,1 0 +1,0 1 -1,2 0 +2
