,Juicy WOL,Yuicaw WOL,Spring WOL,SiuFatBB WOL,Lysoar WOL
rushia BLG,0 1 -1,3 3 +0,2 6 -4,2 2 +0,0 4 -4
whzy BLG,6 2 +4,2 1 +1,5 3 +2,4 5 -1,2 3 -1
Levius BLG,4 4 +0,2 2 +0,0 3 -3,1 3 -2,1 3 -2
Knight BLG,1 4 -3,3 4 -1,4 2 +2,2 2 +0,2 2 +0
nephh BLG,2 1 +1,0 5 -5,0 3 -3,1 5 -4,4 1 +3
