,Juicy WOL,Yuicaw WOL,Spring WOL,SiuFatBB WOL,Lysoar WOL
rushia BLG,0 2 -2,,,,
whzy BLG,,,1 0 +1,1 0 +1,
Levius BLG,,,,,
Knight BLG,0 1 -1,,,,0 1 -1
nephh BLG,,,,,
