,Juicy WOL,Yuicaw WOL,Spring WOL,SiuFatBB WOL,Lysoar WOL
rushia BLG,0 2 -2,,,,
whzy BLG,0 1 -1,,1 0 +1,1 0 +1,
Levius BLG,0 1 -1,,,,
Knight BLG,0 1 -1,,,,0 1 -1
nephh BLG,,,,,
