,Juicy WOL,Yuicaw WOL,Spring WOL,SiuFatBB WOL,Lysoar WOL
rushia BLG,,,0 1 -1,,0 1 -1
whzy BLG,2 0 +2,,1 0 +1,0 1 -1,
Levius BLG,0 2 -2,0 1 -1,,,
Knight BLG,1 1 +0,0 3 -3,1 0 +1,,0 1 -1
nephh BLG,0 1 -1,,0 1 -1,,
