,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Knight BLG,,4 Round 3 Yuicaw Lysoar Round 7 Spring SiuFatBB Round 11 Spring Yuicaw Round 12 Yuicaw Spring,,,,,1 Round 11 Yuicaw SiuFatBB,,,,42,0,0
whzy BLG,,5 Round 5 Spring Lysoar Round 6 Juicy Spring Round 8 Juicy Lysoar Round 14 Yuicaw SiuFatBB Round 16 Juicy Yuicaw,1 Round 3 SiuFatBB Juicy Spring,,,,,,,,71,0,0
nephh BLG,,2 Round 2 Juicy Lysoar Round 17 SiuFatBB Lysoar nephh,,,,,,,,,34,4,0
Levius BLG,,2 Round 15 Lysoar Yuicaw Round 17 Yuicaw Juicy,,,,,,,,,43,2,0
rushia BLG,,2 Round 2 Yuicaw SiuFatBB Round 4 Spring Yuicaw,,,,1 Round 2 SiuFatBB,,,,,30,1,0
Juicy WOL,,2 Round 7 Levius Knight Round 18 rushia Knight,,,,,,,,,43,0,0
SiuFatBB WOL,,2 Round 1 whzy nephh Round 7 rushia whzy,1 Round 2 Levius Knight nephh,,,,,,,,70,4,1
Yuicaw WOL,,3 Round 1 Knight rushia Round 11 rushia nephh Round 17 Knight whzy,,,,,,,,,54,0,0
Spring WOL,,2 Round 8 Knight rushia Round 15 whzy rushia,1 Round 13 Levius nephh rushia,1 Round 16 Levius nephh whzy rushia,,,1 Round 15 whzy rushia,,,,79,1,0
Lysoar WOL,,1 Round 4 Levius rushia,2 Round 5 nephh Knight rushia Round 9 Knight whzy Levius,,,1 Round 17 nephh,2 Round 4 rushia Levius Round 14 Knight Levius,,,,54,0,1
