,Juicy WOL,Yuicaw WOL,Spring WOL,SiuFatBB WOL,Lysoar WOL
rushia BLG,0 1 -1,,1 2 -1,,
whzy BLG,2 1 +1,1 0 +1,2 1 +1,,0 1 -1
Levius BLG,,,0 1 -1,,0 1 -1
Knight BLG,2 1 +1,1 1 +0,0 1 -1,0 1 -1,
nephh BLG,1 0 +1,1 0 +1,,,
