,kamo TL,kamyk TL,paTiTek TL,keiko TL,nAts TL
Kicks VIT,,,0 1 -1,0 1 -1,
Sayf VIT,1 0 +1,,,0 1 -1,1 0 +1
Less VIT,,,,,0 1 -1
trexx VIT,1 2 -1,,0 2 -2,,
Derke VIT,4 1 +3,1 1 +0,0 2 -2,1 0 +1,2 0 +2
