,kamo TL,kamyk TL,paTiTek TL,keiko TL,nAts TL
Kicks VIT,0 1 -1,,0 2 -2,2 0 +2,
Sayf VIT,0 2 -2,,1 1 +0,1 0 +1,
Less VIT,,1 0 +1,,0 1 -1,
trexx VIT,1 0 +1,,,0 1 -1,0 1 -1
Derke VIT,2 0 +2,0 1 -1,,,1 1 +0
