,kamo TL,kamyk TL,paTiTek TL,keiko TL,nAts TL
Kicks VIT,,,,,1 1 +0
Sayf VIT,1 0 +1,2 0 +2,,0 1 -1,
Less VIT,,,,,0 1 -1
trexx VIT,,1 0 +1,,,1 0 +1
Derke VIT,1 1 +0,1 3 -2,0 2 -2,0 1 -1,1 2 -1
