,kamo TL,kamyk TL,paTiTek TL,keiko TL,nAts TL
Kicks VIT,1 1 +0,1 0 +1,0 4 -4,4 1 +3,2 1 +1
Sayf VIT,2 4 -2,2 0 +2,3 1 +2,1 2 -1,3 0 +3
Less VIT,2 1 +1,1 0 +1,,0 2 -2,1 2 -1
trexx VIT,3 2 +1,3 1 +2,0 2 -2,1 2 -1,1 1 +0
Derke VIT,9 2 +7,3 8 -5,1 5 -4,2 4 -2,8 3 +5
