,kamo TL,kamyk TL,paTiTek TL,keiko TL,nAts TL
Kicks VIT,,1 0 +1,,,
Sayf VIT,0 1 -1,,2 0 +2,,1 0 +1
Less VIT,2 0 +2,,,,
trexx VIT,1 0 +1,1 0 +1,,0 1 -1,
Derke VIT,2 0 +2,,0 1 -1,1 3 -2,3 0 +3
