,kamo TL,kamyk TL,paTiTek TL,keiko TL,nAts TL
Kicks VIT,0 1 -1,0 4 -4,2 2 +0,4 5 -1,3 4 -1
Sayf VIT,1 4 -3,2 6 -4,1 4 -3,3 4 -1,2 2 +0
Less VIT,2 3 -1,6 4 +2,4 1 +3,4 8 -4,4 1 +3
trexx VIT,5 3 +2,0 2 -2,3 8 -5,2 2 +0,2 4 -2
Derke VIT,7 2 +5,5 3 +2,1 5 -4,3 6 -3,4 3 +1
