,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Sayf VIT,,3 Round 4 keiko paTiTek Round 8 paTiTek kamyk Round 13 paTiTek kamyk,1 Round 1 kamo paTiTek nAts,1 Round 17 nAts keiko kamo paTiTek,,,,,,,63,2,0
trexx VIT,,,,,,,,,,,30,1,1
Derke VIT,,2 Round 3 keiko paTiTek Round 15 kamo paTiTek,1 Round 16 kamo paTiTek nAts,,,,,,,,46,1,0
Less VIT,,2 Round 9 paTiTek keiko Round 11 kamyk nAts,,,,,,,,,45,2,0
Kicks VIT,,4 Round 7 keiko kamo Round 8 keiko nAts Round 13 keiko nAts Round 15 kamyk keiko,1 Round 20 kamo paTiTek keiko,,,1 Round 8 nAts,,,,,53,4,0
paTiTek TL,,3 Round 12 Kicks trexx Round 18 Less Kicks Round 20 trexx Less,,,,,,,,,51,1,0
nAts TL,,2 Round 2 trexx Less Round 5 trexx Derke,1 Round 10 Derke Less Sayf,,,,,,,,54,0,1
kamyk TL,,1 Round 11 Derke Kicks,3 Round 4 Derke trexx Less Round 9 Derke Sayf Less Round 16 Kicks Derke Sayf,,,2 Round 9 Less Round 16 Sayf,,,,,77,3,3
keiko TL,,,,,,1 Round 1 Sayf,,,,,40,1,2
kamo TL,,3 Round 1 Less Kicks Round 13 trexx Derke Round 18 Sayf trexx,1 Round 6 Kicks Derke Sayf,,,,,,,,56,0,1
