,Dantedeu5 KRÜ,Melser KRÜ,keznit KRÜ,Mazino KRÜ,Shyy KRÜ
artzin MIBR,1 2 -1,,0 3 -3,,1 1 +0
cortezia MIBR,,,,,0 1 -1
Verno MIBR,1 0 +1,,,1 0 +1,
xenom MIBR,1 0 +1,,,1 1 +0,
aspas MIBR,1 1 +0,1 1 +0,0 1 -1,1 0 +1,2 0 +2
