,Dantedeu5 KRÜ,Melser KRÜ,keznit KRÜ,Mazino KRÜ,Shyy KRÜ
artzin MIBR,4 5 -1,5 1 +4,2 5 -3,1 3 -2,2 1 +1
cortezia MIBR,3 0 +3,2 4 -2,4 1 +3,2 2 +0,4 6 -2
Verno MIBR,3 1 +2,1 2 -1,3 3 +0,4 2 +2,1 2 -1
xenom MIBR,3 0 +3,2 4 -2,2 1 +1,2 4 -2,1 1 +0
aspas MIBR,2 1 +1,3 4 -1,3 3 +0,4 2 +2,5 1 +4
