,Dantedeu5 KRÜ,Melser KRÜ,keznit KRÜ,Mazino KRÜ,Shyy KRÜ
artzin MIBR,1 1 +0,1 3 -2,1 6 -5,0 2 -2,1 2 -1
cortezia MIBR,0 1 -1,2 2 +0,1 2 -1,0 4 -4,2 3 -1
Verno MIBR,1 4 -3,0 2 -2,0 5 -5,2 3 -1,
xenom MIBR,3 1 +2,2 2 +0,0 6 -6,2 2 +0,0 2 -2
aspas MIBR,3 1 +2,0 3 -3,4 3 +1,4 2 +2,3 3 +0
