,Dantedeu5 KRÜ,Melser KRÜ,keznit KRÜ,Mazino KRÜ,Shyy KRÜ
artzin MIBR,10 11 -1,9 7 +2,7 15 -8,3 7 -4,6 7 -1
cortezia MIBR,4 4 +0,8 9 -1,8 8 +0,5 10 -5,12 10 +2
Verno MIBR,7 8 -1,4 6 -2,3 14 -11,8 8 +0,1 4 -3
xenom MIBR,9 4 +5,6 9 -3,5 12 -7,7 8 -1,4 4 +0
aspas MIBR,6 4 +2,6 12 -6,8 8 +0,12 9 +3,9 5 +4
