,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
cortezia MIBR,,1 Round 5 Shyy Melser,,,,,,,,,33,0,0
artzin MIBR,,,,,,,,,,,32,2,0
aspas MIBR,,4 Round 5 Dantedeu5 keznit Round 9 Dantedeu5 keznit Round 12 Shyy Mazino Round 14 Shyy keznit,,,,,,,,,80,0,0
xenom MIBR,,,1 Round 3 Dantedeu5 Mazino Melser,,,,,,,,47,1,0
Verno MIBR,,1 Round 1 Mazino Dantedeu5,,,,,,,,,16,1,0
Melser KRÜ,,2 Round 3 Verno cortezia Round 4 cortezia xenom,,,,,,,,,72,0,0
keznit KRÜ,,,2 Round 8 cortezia artzin xenom Round 10 aspas xenom artzin,2 Round 1 artzin Verno aspas xenom Round 11 cortezia xenom artzin Verno,,,,1 Round 11 artzin xenom Verno,,,100,0,3
Mazino KRÜ,,2 Round 2 Verno aspas Round 12 cortezia artzin,2 Round 7 aspas xenom cortezia Round 14 cortezia artzin xenom,,,,,,,,64,2,0
Shyy KRÜ,,4 Round 2 cortezia xenom Round 4 artzin aspas Round 9 cortezia aspas Round 13 cortezia aspas Shyy,,,,1 Round 13 aspas,,,,,42,0,0
Dantedeu5 KRÜ,,1 Round 3 artzin aspas,,,,,,,,,60,0,0
