,Dantedeu5 KRÜ,Melser KRÜ,keznit KRÜ,Mazino KRÜ,Shyy KRÜ
artzin MIBR,2 4 -2,0 2 -2,1 4 -3,,1 2 -1
cortezia MIBR,,2 0 +2,,0 1 -1,0 1 -1
Verno MIBR,2 3 -1,1 0 +1,0 3 -3,1 1 +0,
xenom MIBR,2 1 +1,0 1 -1,0 1 -1,2 1 +1,0 1 -1
aspas MIBR,3 1 +2,1 1 +0,1 2 -1,4 3 +1,2 0 +2
