,Dantedeu5 KRÜ,Melser KRÜ,keznit KRÜ,Mazino KRÜ,Shyy KRÜ
artzin MIBR,5 5 +0,3 3 +0,4 4 +0,2 2 +0,3 4 -1
cortezia MIBR,1 3 -2,4 3 +1,3 5 -2,3 4 -1,6 1 +5
Verno MIBR,3 3 +0,3 2 +1,0 6 -6,2 3 -1,0 2 -2
xenom MIBR,3 3 +0,2 3 -1,3 5 -2,3 2 +1,3 1 +2
aspas MIBR,1 2 -1,3 5 -2,1 2 -1,4 5 -1,1 1 +0
