,Estrella RRQ,Kushy RRQ,Jemkin RRQ,xffero RRQ,Monyet RRQ
Persia NS,5 1 +4,1 4 -3,4 2 +2,0 1 -1,2 1 +1
Dambi NS,3 1 +2,3 5 -2,5 4 +1,3 2 +1,3 6 -3
Francis NS,3 4 -1,7 3 +4,4 1 +3,4 6 -2,5 2 +3
margaret NS,1 2 -1,2 6 -4,3 2 +1,3 3 +0,6 2 +4
Ivy NS,4 2 +2,3 2 +1,2 5 -3,6 1 +5,2 1 +1
