,Estrella RRQ,Kushy RRQ,Jemkin RRQ,xffero RRQ,Monyet RRQ
Persia NS,13 10 +3,10 14 -4,12 14 -2,9 11 -2,13 7 +6
Dambi NS,11 15 -4,17 10 +7,14 21 -7,12 14 -2,12 12 +0
Francis NS,11 9 +2,15 9 +6,13 16 -3,13 15 -2,12 14 -2
margaret NS,8 11 -3,10 10 +0,9 11 -2,13 16 -3,16 12 +4
Ivy NS,16 13 +3,13 10 +3,13 14 -1,13 11 +2,11 8 +3
