,Estrella RRQ,Kushy RRQ,Jemkin RRQ,xffero RRQ,Monyet RRQ
Persia NS,,0 1 -1,,0 1 -1,0 1 -1
Dambi NS,,2 1 +1,2 2 +0,2 2 +0,4 0 +4
Francis NS,,,,1 0 +1,
margaret NS,,,0 1 -1,1 0 +1,3 1 +2
Ivy NS,0 1 -1,,,,
