,Estrella RRQ,Kushy RRQ,Jemkin RRQ,xffero RRQ,Monyet RRQ
Persia NS,1 2 -1,2 4 -2,2 5 -3,3 6 -3,2 3 -1
Dambi NS,4 8 -4,7 2 +5,5 5 +0,3 6 -3,4 0 +4
Francis NS,4 2 +2,3 2 +1,3 6 -3,7 4 +3,1 3 -2
margaret NS,1 5 -4,1 1 +0,1 6 -5,1 2 -1,6 5 +1
Ivy NS,4 3 +1,3 4 -1,3 2 +1,2 5 -3,2 3 -1
