,Estrella RRQ,Kushy RRQ,Jemkin RRQ,xffero RRQ,Monyet RRQ
Persia NS,7 7 +0,7 6 +1,6 7 -1,6 4 +2,9 3 +6
Dambi NS,4 6 -2,7 3 +4,4 12 -8,6 6 +0,5 6 -1
Francis NS,4 3 +1,5 4 +1,6 9 -3,2 5 -3,6 9 -3
margaret NS,6 4 +2,7 3 +4,5 3 +2,9 11 -2,4 5 -1
Ivy NS,8 8 +0,7 4 +3,8 7 +1,5 5 +0,7 4 +3
