,Estrella RRQ,Kushy RRQ,Jemkin RRQ,xffero RRQ,Monyet RRQ
Persia NS,1 1 +0,,3 0 +3,,1 0 +1
Dambi NS,0 2 -2,4 0 +4,0 3 -3,2 1 +1,2 2 +0
Francis NS,,,2 1 +1,0 1 -1,1 0 +1
margaret NS,,1 0 +1,2 0 +2,2 0 +2,0 2 -2
Ivy NS,2 1 +1,0 1 -1,2 2 +0,,
